image size+1: 785
Enter no of threads:
0.308920 0.203556 0.408502 
old logloss: 0.000002 
start update

Enter iterations for each thread:
Delta Norm = 3.604068
Delta Norm = 2.164611
Delta Norm = 2.428637
Delta Norm = 2.614663
Delta Norm = 3.053762
Delta Norm = 0.558427
Delta Norm = 3.383311
Delta Norm = 3.815146
Delta Norm = 2.322449
Delta Norm = 3.974338
Delta Norm = 2.542955
Delta Norm = 3.983710
Delta Norm = 2.673239
Delta Norm = 3.135284
Delta Norm = 3.851824
Delta Norm = 4.639208
Delta Norm = 3.323950
Delta Norm = 3.320211
Delta Norm = 3.842775
Delta Norm = 3.601931
Delta Norm = 4.073291
Delta Norm = 2.726729
Delta Norm = 3.779203
Delta Norm = 3.284270
Delta Norm = 2.900241
Delta Norm = 3.938737
Delta Norm = 2.585943
Delta Norm = 4.085332
Delta Norm = 3.765763
Delta Norm = 3.687107
Delta Norm = 2.356301
Delta Norm = 3.139345
Delta Norm = 2.437052
Delta Norm = 1.692266
Delta Norm = 2.363247
Delta Norm = 2.765114
Delta Norm = 2.201453
Delta Norm = 2.466273
Delta Norm = 3.977442
Delta Norm = 3.814665
Delta Norm = 2.208055
Delta Norm = 3.339548
Delta Norm = 1.930979
Delta Norm = 2.948723
Delta Norm = 3.206999
Delta Norm = 3.869212
Delta Norm = 1.221754
Delta Norm = 1.974311
Delta Norm = 4.086642
Delta Norm = 2.963702
Delta Norm = 3.094727
Delta Norm = 0.596889
Delta Norm = 3.561411
Delta Norm = 1.268768
Delta Norm = 2.841172
Delta Norm = 2.495402
Delta Norm = 3.927605
Delta Norm = 3.705146
Delta Norm = 3.224394
Delta Norm = 3.996960
Delta Norm = 4.337266
Delta Norm = 1.991308
Delta Norm = 3.980320
Delta Norm = 2.687764
Delta Norm = 3.685297
Delta Norm = 3.133647
Delta Norm = 3.651085
Delta Norm = 3.238322
Delta Norm = 2.410603
Delta Norm = 1.438882
Delta Norm = 2.803467
Delta Norm = 3.806037
Delta Norm = 3.280146
Delta Norm = 2.848251
Delta Norm = 3.374925
Delta Norm = 3.822972
Delta Norm = 3.527278
Delta Norm = 2.674042
Delta Norm = 3.677605
Delta Norm = 1.701903
Delta Norm = 2.756004
Delta Norm = 2.495249
Delta Norm = 4.110363
Delta Norm = 3.511040
Delta Norm = 3.161562
Delta Norm = 3.062381
Delta Norm = 3.846583
Delta Norm = 1.673298
Delta Norm = 3.234924
Delta Norm = 3.342765
Delta Norm = 1.551825
Delta Norm = 3.479132
Delta Norm = 2.730146
Delta Norm = 3.658931
Delta Norm = 2.895247
Delta Norm = 3.195521
Delta Norm = 2.542304
Delta Norm = 3.877971
Delta Norm = 2.870081
Delta Norm = 3.184186
Delta Norm = 2.549980
Delta Norm = 4.870372
Delta Norm = 3.408513
Delta Norm = 3.257326
Delta Norm = 3.735861
Delta Norm = 4.242923
Delta Norm = 2.454628
Delta Norm = 3.696221
Delta Norm = 3.432992
Delta Norm = 3.499129
Delta Norm = 3.398025
Delta Norm = 1.896378
Delta Norm = 3.199417
